,code,room,start_time,end_time,date,day_of_week
100,Nilton Morimoto,CAEEL (Reunião),13:00,15:50,2023-08-09,qua
101,PEA3294,A1-22,13:10,16:30,2023-08-09,qua
102,PEA3294PV,A2-37,13:10,16:30,2023-08-09,qua
103,PSI3213,B2-05,13:10,14:40,2023-08-09,qua
104,PEA3417,B2-10,13:10,14:40,2023-08-09,qua
105,PEA3288,B2-12,13:10,14:40,2023-08-09,qua
106,PCS3115,C1-30,13:10,14:40,2023-08-09,qua
107,PSI3213,CAEEL (Reunião),13:10,14:40,2023-08-09,qua
108,PSI3213,D1-01,13:10,14:40,2023-08-09,qua
109,4323102?,D1-02,13:10,14:40,2023-08-09,qua
110,PSI3213,D1-03,13:10,14:40,2023-08-09,qua
111,0323100,GD-05,13:10,15:40,2023-08-09,qua
112,PTC3449,A2-37,14:00,15:30,2023-08-09,qua
113,0323150,A2-44,14:00,16:50,2023-08-09,qua
114,PCS3724,B2-04,14:00,15:30,2023-08-09,qua
115,PCS3899,B2-06,14:00,17:30,2023-08-09,qua
116,PSI3463,B2-12,14:00,18:20,2023-08-09,qua
117,PEA3416,B2-03,15:00,16:30,2023-08-09,qua
118,PSI3501,B2-05,15:00,16:30,2023-08-09,qua
119,PCS3225,B2-10,15:00,16:30,2023-08-09,qua
120,PCS3225,B2-12,15:00,16:30,2023-08-09,qua
121,PCS3213,C1-05,15:00,16:30,2023-08-09,qua
122,PCS3225,C1-30,15:00,16:30,2023-08-09,qua
123,PTC3452,A2-37,15:50,17:10,2023-08-09,qua
124,PCS3722,C1-05,16:00,17:30,2023-08-09,qua
125,PEA3424,A2-37,16:50,18:20,2023-08-09,qua
126,PSI3572,B2-05,16:50,18:20,2023-08-09,qua
127,PSI3262,CAEEL (Reunião),16:50,18:30,2023-08-09,qua
128,PTC5880,A2-44,17:00,19:50,2023-08-09,qua
129,PEA5740,B2-05,17:00,19:30,2023-08-09,qua
130,PSI5120,B2-06,17:00,19:50,2023-08-09,qua
131,PSI3321,B2-03,18:00,19:30,2023-08-09,qua
132,PEA3389,A1-22,07:30,10:50,2023-08-10,qui
133,PEA3393,B2-10,07:30,10:50,2023-08-10,qui
134,PSI3465,C1-05,07:30,10:50,2023-08-10,qui
135,PEA3294,D1-01,07:30,09:00,2023-08-10,qui
136,4323102?,D1-03,07:30,09:00,2023-08-10,qui
137,PSI3432,GD-04,07:30,09:00,2023-08-10,qui
138,PTC2020,B2-09,08:20,09:50,2023-08-10,qui
139,0323100,D1-02,08:20,10:50,2023-08-10,qui
140,Defesa mestrado,B2-12,09:00,12:50,2023-08-10,qui
141,PTC3470,A2-44,09:20,10:50,2023-08-10,qui
142,PTC3441,B2-04,09:20,10:50,2023-08-10,qui
143,PEA3290,B2-09,09:20,10:50,2023-08-10,qui
144,PTC3213,C1-05,09:20,10:50,2023-08-10,qui
145,PTC3213,C1-30,09:20,10:50,2023-08-10,qui
146,4323102?,C1-49,09:20,10:50,2023-08-10,qui
147,PTC3213,CAEEL (Defesa),09:20,10:50,2023-08-10,qui
148,PSI3452,D1-01,09:20,12:40,2023-08-10,qui
149,PRO3816,B2-05,10:20,11:50,2023-08-10,qui
150,PTC3565,B2-01,11:10,12:40,2023-08-10,qui
151,PTC3420,B2-03,11:10,12:40,2023-08-10,qui
152,PTC3569,B2-09,11:10,12:40,2023-08-10,qui
153,PTC3360,CAEEL (Defesa),11:10,12:40,2023-08-10,qui
