class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023202,PEF3404,Pontes e Grandes Estruturas,(R) Rui Nobhiro Oyamada,2023-08-07,2023-12-21,civil-manual,ter,07:30,09:10,Civil,S11,
2023201,PCC3350,Planejamento Urbano e Regional,(R) Karin Regina de Castro Marins,2023-08-07,2023-12-21,civil-manual,ter,09:20,11:00,Civil,S12,
2023201,PCC3332,Tecnologia e Gestão da Produção de Obras Civis: Obras de Infraestrutura,(R) Flávio Leal Maranhão,2023-08-07,2023-12-21,civil-manual,ter,07:30,09:10,Civil,S14,
2023202,PCC3332,Tecnologia e Gestão da Produção de Obras Civis: Obras de Infraestrutura,(R) Flávio Leal Maranhão,2023-08-07,2023-12-21,civil-manual,qui,07:30,09:10,Civil,S08,
2023203,PCC3332,Tecnologia e Gestão da Produção de Obras Civis: Obras de Infraestrutura,(R) Flávio Leal Maranhão,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S08,
2023250,PTR3534,Transporte Aéreo,(R) Jorge Eduardo Leal Medeiros,2023-08-07,2023-12-21,civil-manual,ter,07:30,09:10,Civil,S15,
2023201,PTR3522,Gestão de Pavimentos,(R) Jose Tadeu Balbo,2023-08-07,2023-12-21,civil-manual,ter,09:20,11:00,Civil,S15,
2023201,PHA3412,Saneamento,(R) Ronan Cleber Contrera,2023-08-07,2023-12-21,civil-manual,ter,13:10,16:40,Civil,S15,
2023202,PHA3412,Saneamento,(R) Theo Syrto Octavio de Souza,2023-08-07,2023-12-21,civil-manual,ter,13:10,16:40,Civil,S13,
2023201,PEF3302,Mecânica das Estruturas I,Alfredo Gay Neto,2023-08-07,2023-12-21,civil-manual,ter,07:30,10:10,Civil,S19,
2023202,PEF3302,Mecânica das Estruturas I,Luís Antônio Guimarães Bitencourt Júnior,2023-08-07,2023-12-21,civil-manual,ter,07:30,10:10,Civil,S20,
2023201,PCC3222,Materiais de Construção II,(R) Rafael Giuliano Pileggi,2023-08-07,2023-12-21,civil-manual,ter,08:20,11:00,Civil,S22,
2023202,PCC3222,Materiais de Construção II,(R) Vanderley Moacyr John,2023-08-07,2023-12-21,civil-manual,ter,08:20,11:00,Civil,S26,
2023201,PHA3305,Hidráulica Geral II,(R) Fábio Cunha Lofrano,2023-08-07,2023-12-21,civil-manual,ter,13:10,14:50,Civil,S26,
2023201,PHA3305,Hidráulica Geral II,(R) Fábio Cunha Lofrano,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S26,
2023202,PHA3305,Hidráulica Geral II,(R) Podalyro Amaral de Souza,2023-08-07,2023-12-21,civil-manual,ter,13:10,14:50,Civil,S22,
2023202,PHA3305,Hidráulica Geral II,(R) Podalyro Amaral de Souza,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S22,
2023201,PHA3201,Hidráulica Ambiental 1,(R) José Rodolfo Scarati Martins,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S01,
2023202,PHA3201,Hidráulica Ambiental 1,(R) José Rodolfo Scarati Martins,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S03,
2023203,PHA3201,Hidráulica Ambiental 1,André Luiz Marguti,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S22,
2023201,PHA3307,Hidrologia Aplicada,(R) Arisvaldo Vieira Mello Júnior,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S01,
2023201,PHA3307,Hidrologia Aplicada,(R) Arisvaldo Vieira Mello Júnior,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S01,
2023202,PHA3307,Hidrologia Aplicada,Joaquin Ignacio Bonnecarrere Garcia,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S03,
2023202,PHA3307,Hidrologia Aplicada,Joaquin Ignacio Bonnecarrere Garcia,2023-08-07,2023-12-21,civil-manual,qui,09:20,11:00,Civil,S03,
2023250,PTR0201,Topografia Geral,Edvaldo Simões da Fonseca Junior,2023-08-07,2023-12-21,civil-manual,qua,14:00,18:00,Civil,S01,
2023201,PEF3310,Mecânica dos Solos e das Rochas II,Adrian Torrico Siacara,2023-08-07,2023-12-21,civil-manual,qui,13:10,16:40,Civil,S05,
2023202,PEF3310,Mecânica dos Solos e das Rochas II,Mauricio Abramento,2023-08-07,2023-12-21,civil-manual,qui,13:10,16:40,Civil,S06,
2023203,PEF3310,Mecânica dos Solos e das Rochas II,José Jorge Nader,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S03,
2023203,PEF3310,Mecânica dos Solos e das Rochas II,José Jorge Nader,2023-08-07,2023-12-21,civil-manual,qui,13:10,14:50,Civil,S03,
2023201,PEF3312,Mecânica do Contínuo II,(R) José Jorge Nader,2023-08-07,2023-12-21,civil-manual,qua,16:50,18:30,Civil,S03,
2023250,PTR3432,Aeroportos,(R) Jorge Eduardo Leal Medeiros,2023-08-07,2023-12-21,civil-manual,qua,07:30,09:10,Civil,S04,
2023201,PTR3421,Transporte Sobre Trilhos,(R) Rosângela dos Santos Motta,2023-08-07,2023-12-21,civil-manual,qua,09:20,11:00,Civil,S04,
2023202,FLP0431,"Urbanização, Desenvolvimento e Meio Ambiente",(R) João Paulo Candia Veiga,2023-08-07,2023-12-21,civil-manual,qua,13:10,16:40,Civil,S04,
2023201,HSA3110,Avaliação e Gestão de Riscos Ambientais,(R) Adelaide Cassia Nardocci,2023-08-07,2023-12-21,civil-manual,qua,07:30,10:10,Civil,S05,
2023201,PEF3201,Resistência dos Materiais e Estática das Construções I,Luiz Antonio Cortese Diogo,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S06,
2023201,PEF3201,Resistência dos Materiais e Estática das Construções I,Luiz Antonio Cortese Diogo,2023-08-07,2023-12-21,civil-manual,sex,13:10,14:50,Civil,S06,
2023202,PEF3201,Resistência dos Materiais e Estática das Construções I,(R) Mario Eduardo Senatore Soares,2023-08-07,2023-12-21,civil-manual,qua,13:10,14:50,Civil,S05,
2023202,PEF3201,Resistência dos Materiais e Estática das Construções I,(R) Mario Eduardo Senatore Soares,2023-08-07,2023-12-21,civil-manual,sex,13:10,14:50,Civil,S05,
2023250,PTR3431,Planejamento e Operação de Transportes,(R) Cassiano Augusto Isler,2023-08-07,2023-12-21,civil-manual,qua,07:30,11:00,Civil,S06,
