class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023201,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,ter,07:30,09:10,eletrica,"D1-01,D1-02",0
2023201,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,"D1-01,D1-02",0
2023202,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,ter,07:30,09:10,eletrica,"D1-01,D1-02",0
2023202,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,"D1-01,D1-02",0
2023203,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,ter,07:30,09:10,eletrica,"D1-01,D1-02",0
2023203,PTC3314,Ondas e Linhas,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,"D1-01,D1-02",0
2023201,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,ter,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023201,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,qui,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023202,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,ter,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023202,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,qui,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023203,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,ter,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023203,PTC3360,Introdução a Redes e Comunicações,,2023-08-07,2023-12-21,eletrica_crawler,qui,11:10,12:50,eletrica,"D1-01,D1-02,D1-04",0
2023201,PSI3432,Processamento de Áudio e Imagem,,2023-08-07,2023-12-21,eletrica_crawler,ter,09:20,11:00,eletrica,GD-04,0
2023201,PSI3432,Processamento de Áudio e Imagem,,2023-08-07,2023-12-21,eletrica_crawler,qui,07:30,09:10,eletrica,GD-04,0
2023201,PCS3021,Linguagem Computacional,,2023-08-07,2023-12-21,eletrica_crawler,ter,18:50,22:30,eletrica,GD-06,0
2023201,PSI3542,Sistemas Embarcados para IoT,,2023-08-07,2023-12-21,eletrica_crawler,ter,16:50,18:30,eletrica,GD-06,0
2023201,PSI3542,Sistemas Embarcados para IoT,,2023-08-07,2023-12-21,eletrica_crawler,qui,16:50,18:30,eletrica,GD-06,0
2023201,PEA3294,Eletricidade Geral I,,2023-05-02,2023-08-18,eletrica_crawler,qua,13:10,16:40,eletrica,"A1-22,A2-37",0
2023202,PEA3294,Eletricidade Geral I,,2023-05-02,2023-08-18,eletrica_crawler,qua,13:10,16:40,eletrica,"A1-22,A2-37",0
2023203,PEA3294,Eletricidade Geral I,,2023-05-02,2023-08-18,eletrica_crawler,sex,13:10,16:40,eletrica,,0
2023204,PEA3294,Eletricidade Geral I,,2023-05-02,2023-08-18,eletrica_crawler,sex,13:10,16:40,eletrica,,0
2023250,PEA3294,Eletricidade Geral I,,2023-05-02,2023-08-18,eletrica_crawler,qui,09:20,11:00,eletrica,,0
2023201,PEA3418,Laboratório de Automação de Sistemas Industriais,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,11:00,eletrica,A2-37,0
2023202,PEA3418,Laboratório de Automação de Sistemas Industriais,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,11:00,eletrica,A2-37,0
2023201,PEA3424,Proteção e Automação de Sistemas Elétricos de Potência II,,2023-08-07,2023-12-21,eletrica_crawler,qua,16:50,18:30,eletrica,A2-37,0
2023250,PTC3414,Controle de Processos Industriais,,2023-08-07,2023-12-21,eletrica_crawler,qua,07:30,09:10,eletrica,B2-01,0
2023250,PTC3414,Controle de Processos Industriais,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,B2-03,0
2023250,PTC3421,Instrumentação Industrial,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,B2-01,0
2023250,PTC3421,Instrumentação Industrial,,2023-08-07,2023-12-21,eletrica_crawler,sex,09:20,11:00,eletrica,B2-01,0
2023201,0323150,Detecção e Estimação de Sinais,,2023-08-07,2023-12-21,eletrica_crawler,qua,14:00,17:00,eletrica,B2-03,0
2023250,PTC3417,Controle Não Linear,,2023-08-07,2023-12-21,eletrica_crawler,qua,11:10,12:50,eletrica,B2-03,0
2023250,PTC3417,Controle Não Linear,,2023-08-07,2023-12-21,eletrica_crawler,sex,11:10,12:50,eletrica,B2-03,0
2023201,PCS3110,Algoritmos e Estruturas de Dados para Engenharia Elétrica,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,"B2-05,D1-01,D1-02",0
