,code,room,start_time,end_time,date,day_of_week
0,PEA3201 Pv,A1-22,07:30,10:50,2023-08-15,ter
1,PSI3472,B2-09,07:30,09:00,2023-08-15,ter
2,PEA3524,B2-10,07:30,10:50,2023-08-15,ter
3,PTC3314,D1-01,07:30,09:00,2023-08-15,ter
4,PTC3314,D1-02,07:30,09:00,2023-08-15,ter
5,PSI3472,GD-06,07:30,09:00,2023-08-15,ter
6,PCS3569/3869,B2-06,08:20,11:50,2023-08-15,ter
7,Reunião - GT1 DCNs,B2-08,09:00,10:30,2023-08-15,ter
8,PTC3470,A2-44,09:20,10:50,2023-08-15,ter
9,PTC3441,B2-04,09:20,10:50,2023-08-15,ter
10,PTC3456,B2-08,09:20,12:40,2023-08-15,ter
11,PME3344?,C1-30,09:20,10:50,2023-08-15,ter
12,PME3344?,C1-49,09:20,10:50,2023-08-15,ter
13,PME3344?,CAEEL (Defesa),09:20,10:50,2023-08-15,ter
14,PME3344?,CAEEL (Reunião),09:20,10:50,2023-08-15,ter
15,PSI3432,D1-02,09:20,10:50,2023-08-15,ter
16,PTC3565,B2-01,11:10,12:40,2023-08-15,ter
17,PTC3420,B2-03,11:10,12:40,2023-08-15,ter
18,PTC3569,B2-08,11:10,12:40,2023-08-15,ter
19,PTC3360,CAEEL (Defesa),11:10,12:40,2023-08-15,ter
20,PTC3360,CAEEL (Reunião),11:10,12:40,2023-08-15,ter
21,PTC3360,D1-02,11:10,12:40,2023-08-15,ter
22,PEA3417,B2-10,13:10,14:40,2023-08-15,ter
23,4323102?,D1-03,13:10,14:40,2023-08-15,ter
24,0323100,GD-06,13:10,15:40,2023-08-15,ter
25,PTC3452,B2-01,14:00,15:30,2023-08-15,ter
26,PTC3570,B2-03,14:00,16:50,2023-08-15,ter
27,PCS3579/3879,B2-05,14:00,17:30,2023-08-15,ter
28,PCS3424,B2-08,14:00,15:30,2023-08-15,ter
29,PCS3446,B2-09,14:00,15:30,2023-08-15,ter
30,Apresentação - Lab de Programação,D1-01,14:00,17:30,2023-08-15,ter
31,PEA3410,B2-05,15:00,16:30,2023-08-15,ter
32,4323102?,C1-30,15:00,16:30,2023-08-15,ter
33,PTC3451,B2-01,15:50,17:20,2023-08-15,ter
34,PSI3542,D1-04,16:50,18:20,2023-08-15,ter
35,PTC3101,B2-01,17:00,17:50,2023-08-15,ter
36,PCS3021,GD-06,18:50,20:00,2023-08-15,ter
