,A1-22,A2-37,A2-44,B2-01,B2-03,B2-04,B2-05,B2-06,B2-08,B2-09,B2-10,B2-12,C1-05,C1-30,C1-49,CAEEL (Defesa),CAEEL (Reunião),D1-01,D1-02,D1-03,D1-04,GD-03,GD-04,GD-05,GD-06
14:20,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,PEA3417,,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
14:30,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,PEA3417,,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
14:40,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,PEA3417,,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
14:50,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,,,,,,,,,Apresentação - Lab de Programação,,,,,,0323100
15:00,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
15:10,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
15:20,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
15:30,,,,PTC3452,PTC3570,,PCS3579/3879,,PCS3424,PCS3446,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
15:40,,,,,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,0323100
15:50,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,
16:00,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,
16:10,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,
16:20,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,
16:30,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,PEA3410,,,,,,,Apresentação - Lab de Programação,4323102?,,,,,
16:40,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,,,,,
16:50,,,,PTC3451,PTC3570,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,Exercícios de PSI3213,,,,PSI3542
17:00,,,,PTC3451,PTC3101,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,Exercícios de PSI3213,,,,PSI3542
17:10,,,,PTC3451,PTC3101,,PCS3579/3879,,,,,,,,,,,,Apresentação - Lab de Programação,,Exercícios de PSI3213,,,,PSI3542
