,code,room,start_time,end_time,date,day_of_week
0,PEA3392PV,A1-22,07:30,10:50,2023-08-18,sex
1,PTC3414,B2-03,07:30,09:00,2023-08-18,sex
2,PEA3521,B2-10,07:30,09:00,2023-08-18,sex
3,PTC3314,D1-01,07:30,09:00,2023-08-18,sex
4,PTC3314,D1-02,07:30,09:00,2023-08-18,sex
5,PSI3024,D1-03,07:30,09:00,2023-08-18,sex
6,PCS3838,B2-05,08:20,11:50,2023-08-18,sex
7,PEA3346,B2-08,08:20,10:50,2023-08-18,sex
8,PCS3724,B2-12,08:20,09:50,2023-08-18,sex
9,PTC3421,A2-44,09:20,10:50,2023-08-18,sex
10,PTC3575,B2-01,09:20,10:50,2023-08-18,sex
11,PTC3492,B2-04,09:20,12:40,2023-08-18,sex
12,PSI3442,B2-06,09:20,10:50,2023-08-18,sex
13,PTC3313,B2-10,09:20,10:50,2023-08-18,sex
14,PTC3313,C1-49,09:20,10:50,2023-08-18,sex
15,PSI3024,CAEEL (Defesa),09:20,10:50,2023-08-18,sex
16,PTC3313,CAEEL (Reunião),09:20,10:50,2023-08-18,sex
17,PCS3746,B2-05,10:20,11:50,2023-08-18,sex
18,PTC3417,B2-03,11:10,12:40,2023-08-18,sex
19,PSI3322,CAEEL (Reunião),11:10,12:40,2023-08-18,sex
20,PSI3322,D1-01,11:10,12:40,2023-08-18,sex
21,PEA3201 Pv,A1-22,13:10,16:30,2023-08-18,sex
22,PEA3393,B2-10,13:10,16:30,2023-08-18,sex
23,PEA3410,B2-12,13:10,14:40,2023-08-18,sex
24,PCS3110,D1-01,13:10,14:40,2023-08-18,sex
25,PCS3110,D1-02,13:10,14:40,2023-08-18,sex
26,4323102?,D1-03,13:10,14:40,2023-08-18,sex
27,PCS3110,D1-04,13:10,14:40,2023-08-18,sex
28,PCS3115,GD-06,13:10,14:40,2023-08-18,sex
29,PTC3572,B2-01,14:00,17:30,2023-08-18,sex
30,PCS3446,B2-08,14:00,15:30,2023-08-18,sex
31,PEA3100,B2-09,15:00,16:30,2023-08-18,sex
32,PEA5730,B2-09,17:00,19:50,2023-08-18,sex
