,code,room,start_time,end_time,date,day_of_week
82,PSI3482,GD-04,07:30,09:00,2023-08-09,Wednesday
83,PTC3020,B2-03,08:20,09:50,2023-08-09,Wednesday
84,PEA5756,B2-01,09:00,11:50,2023-08-09,Wednesday
85,Seminário Células Solares,B2-05,09:00,11:50,2023-08-09,Wednesday
86,PTC3421,A2-37,09:20,10:50,2023-08-09,Wednesday
87,PCS3110,B2-01,09:20,10:50,2023-08-09,Wednesday
88,MAC0122,B2-05,09:20,10:50,2023-08-09,Wednesday
89,PCS3110,B2-10,09:20,10:50,2023-08-09,Wednesday
90,PCS3110,B2-12,09:20,10:50,2023-08-09,Wednesday
91,PSI3322,C1-05,09:20,10:50,2023-08-09,Wednesday
92,PSI3322,C1-30,09:20,10:50,2023-08-09,Wednesday
93,PSI3422,D1-01,09:20,12:40,2023-08-09,Wednesday
94,PRO3826,B2-01,10:20,11:50,2023-08-09,Wednesday
95,PTC3313,B2-12,11:00,12:40,2023-08-09,Wednesday
96,PTC3313,CAEEL (Defesa),11:00,12:40,2023-08-09,Wednesday
97,PTC3313,D1-01,11:00,12:40,2023-08-09,Wednesday
98,PTC3575,B2-01,11:10,12:40,2023-08-09,Wednesday
99,PTC3417,B2-03,11:10,12:40,2023-08-09,Wednesday
100,PEA3294,A1-22,13:10,16:30,2023-08-09,Wednesday
101,PEA3294PV,A2-37,13:10,16:30,2023-08-09,Wednesday
102,PSI3213,B2-05,13:10,14:40,2023-08-09,Wednesday
103,PEA3417,B2-10,13:10,14:40,2023-08-09,Wednesday
104,PEA3288,B2-12,13:10,14:40,2023-08-09,Wednesday
105,PCS3115,C1-30,13:10,14:40,2023-08-09,Wednesday
106,PSI3213,D1-01,13:10,14:40,2023-08-09,Wednesday
107,PSI3213,D1-02,13:10,14:40,2023-08-09,Wednesday
108,4323102?,D1-03,13:10,14:40,2023-08-09,Wednesday
109,PSI3213,D1-04,13:10,14:40,2023-08-09,Wednesday
110,0323100,GD-06,13:10,15:40,2023-08-09,Wednesday
111,PTC3449,A2-37,14:00,15:30,2023-08-09,Wednesday
112,0323150,A2-44,14:00,16:50,2023-08-09,Wednesday
113,PCS3724,B2-04,14:00,15:30,2023-08-09,Wednesday
114,PCS3899,B2-06,14:00,17:30,2023-08-09,Wednesday
115,PSI3463,C1-05,14:00,18:20,2023-08-09,Wednesday
116,PEA3416,B2-03,15:00,16:30,2023-08-09,Wednesday
117,PSI3501,B2-05,15:00,16:30,2023-08-09,Wednesday
118,PCS3225,B2-12,15:00,16:30,2023-08-09,Wednesday
119,PCS3225,C1-05,15:00,16:30,2023-08-09,Wednesday
120,PCS3213,C1-30,15:00,16:30,2023-08-09,Wednesday
121,PCS3225,C1-49,15:00,16:30,2023-08-09,Wednesday
122,PTC3452,A2-37,15:50,17:10,2023-08-09,Wednesday
123,PCS3722,C1-05,16:00,17:30,2023-08-09,Wednesday
124,PEA3424,A2-37,16:50,18:20,2023-08-09,Wednesday
125,PSI3572,B2-05,16:50,18:20,2023-08-09,Wednesday
126,PSI3262,CAEEL (Reunião),16:50,18:30,2023-08-09,Wednesday
127,PTC5880,A2-44,17:00,19:50,2023-08-09,Wednesday
128,PEA5740,B2-05,17:00,19:30,2023-08-09,Wednesday
129,PSI5120,B2-06,17:00,19:50,2023-08-09,Wednesday
130,PSI3321,B2-03,18:00,19:30,2023-08-09,Wednesday
131,PEA3389,A1-22,07:30,10:50,2023-08-10,Thursday
132,PEA3393,B2-10,07:30,10:50,2023-08-10,Thursday
133,PSI3465,C1-05,07:30,10:50,2023-08-10,Thursday
134,PEA3294,D1-01,07:30,09:00,2023-08-10,Thursday
135,4323102?,D1-03,07:30,09:00,2023-08-10,Thursday
136,PSI3432,GD-04,07:30,09:00,2023-08-10,Thursday
137,PTC2020,B2-09,08:20,09:50,2023-08-10,Thursday
138,0323100,D1-02,08:20,10:50,2023-08-10,Thursday
139,Defesa mestrado,B2-12,09:00,12:50,2023-08-10,Thursday
140,PTC3470,A2-44,09:20,10:50,2023-08-10,Thursday
141,PTC3441,B2-04,09:20,10:50,2023-08-10,Thursday
142,PEA3290,B2-09,09:20,10:50,2023-08-10,Thursday
143,PTC3213,C1-05,09:20,10:50,2023-08-10,Thursday
144,PTC3213,C1-30,09:20,10:50,2023-08-10,Thursday
145,4323102?,C1-49,09:20,10:50,2023-08-10,Thursday
146,PTC3213,CAEEL (Defesa),09:20,10:50,2023-08-10,Thursday
147,PSI3452,D1-01,09:20,12:40,2023-08-10,Thursday
148,PRO3816,B2-05,10:20,11:50,2023-08-10,Thursday
149,PTC3565,B2-01,11:10,12:40,2023-08-10,Thursday
150,PTC3420,B2-03,11:10,12:40,2023-08-10,Thursday
151,PTC3569,B2-09,11:10,12:40,2023-08-10,Thursday
